string,uz_UZ,ru_RU,en_EN,uz_UZK
face_id_intro_face_block,"Yuzingizni to‘sib qo‘yishi mumkin bo‘lgan buyumlarni yechib qo‘ying (ko‘zoynak, bosh kiyim va boshqalar).","Лицо не перекрыто посторонними объектами (Очки, головной убор и т.д).","Remove items that may obstruct your face (glasses, headwear, etc.).","Юзингизни тўсиб қўйиши мумкин бўлган буюмларни ечиб қўйинг (кўзойнак, бош кийим ва бошқалар)."
face_id_intro_face_frame,Yuzingiz belgilangan ramkaga to‘liq joylashsin.,Лицо полностью вписывается в указанную рамку.,Make sure your face fits completely within the designated frame.,Юзингиз белгиланган рамкага тўлиқ жойлашсин.
face_id_intro_face_illumination,Yuzingizni bir tekis yoritilganligiga,Лицо освещено равномерно,Make sure your face is evenly lit,Юзингизни бир текис ёритилганлигига
face_id_intro_title,Suratga olishdan oldin quyidagilarga ishonch hosil qiling.,"Перед тем как сделать снимок,  убедитесь в том, что.",Make sure before taking the photo.,Суратга олишдан олдин қуйидагиларга ишонч ҳосил қилинг.
face_id_pinfl_not_found,Bunday JShShIRga ega shaxs topilmadi!,Человека с таким ПИНФЛ не найдено!,Person with such PINFL not found!,Бундай ЖШШИРга эга шахс топилмади!
face_id_preview,Ko‘rib chiqish,Предварительный просмотр,Review,Кўриб чиқиш
face_id_title,Face-ID orqali tizimga kirish,Войти с помощью Face-ID,Login with Face-ID,Фаcе-ИД орқали тизимга кириш
favorite_empty_description,Asosiy sahifaga o‘tish,Перейдите на главную страницу и нажмите,Go to Home Page,Асосий саҳифага ўтиш
favorite_empty_title,O‘zingiz yoqtirgan narsani qo‘shing,"Добавьте то, что понравилось",Add what you like,Ўзингиз ёқтирган нарсани қўшинг
favorite_product_title,Mahsulotlar,Продукты,Products,Маҳсулотлар
favorite_service_title,Xizmatlar,Услуги,Services,Хизматлар
favorite_title,Sevimlilar,Мои желания,Favorites,Севимлилар
hot_discounts_title,Issiq chegirmalar,Горячие скидки,Hot Deals,Иссиқ чегирмалар
identity_verification_error_data_already_linked,Ushbu shaxsiy ma’lumotlar boshqa telefon raqamiga bog‘langan!,"Это персональные данные, привязанные к другому номеру телефона!",This personal data is linked to another phone number!,Ушбу шахсий маълумотлар бошқа телефон рақамига боғланган!
identity_verification_error_user_not_found,Bu ma’lumotlar bilan foydalanuvchi topilmadi,Пользователь не найден по этим данным,User not found with this data,Бу маълумотлар билан фойдаланувчи топилмади
identity_verification_personal_data,Shaxsiy ma’lumotlarni o‘zgartirish,Изменить личные данные,Change Personal Data,Шахсий маълумотларни ўзгартириш
identity_verification_personal_data_desc,"Pasport raqami va seriyasini, tug‘ilgan sanangizni kiriting","Укажите номер и серия паспорта, дата рождения","Enter passport number and series, date of birth","Паспорт рақами ва сериясини, туғилган санангизни киритинг"
identity_verification_title,Shaxsni tasdiqlash,Подтвердить личность,Identity Verification,Шахсни тасдиқлаш
image_list_add_pick_image,Galeriyadan tanlash,Выбрать из галереи,Select from Gallery,Галериядан танлаш
image_list_add_take_photo,Rasmga olish,Сфотографировать,Take Photo,Расмга олиш
image_list_add_title,Rasm qo‘shish,Добавить фото,Add Image,Расм қўшиш
image_list_main_image,Birinchi surat e’loningiz asosiy rasmi bo‘ladi. Suratlar tartibini ularning ustiga bosib va olib o‘tish bilan o‘zgartirishingiz mumkin.,"Первое фото будет на обложке объявления. Перетащите, чтобы изменить порядок.",The first photo will be the main image of your ad. You can change the order of photos by pressing and dragging them.,Биринчи сурат эълонингиз асосий расми бўлади. Суратлар тартибини уларнинг устига босиб ва олиб ўтиш билан ўзгартиришингиз мумкин.
image_list_max_count_error,Siz ko‘pi bilan {max_count} ta rasmni qo‘shishingiz mumkin,Вы можете добавить максимум {max_count} изображений,You can add up to {max_count} images,Сиз кўпи билан {мах_cоунт} та расмни қўшишингиз мумкин
image_list_title,Rasmlar,Фото,Images,Расмлар
installment_payment,Muddatli to‘lov,Оплата в рассрочку,Installment Payment,Муддатли тўлов
installment_payment_price,{monthly_price} so‘m / {month_count} oy,{monthly_price} сум / {month_count} месяца,{monthly_price} sum / {month_count} months,{монтҳлй_приcе} сўм / {монтҳ_cоунт} ой
installment_table_payment_balance,To‘lov summasi,Сумма платежа,Payment Amount,Тўлов суммаси
installment_table_remaining_balance,Qoldiq summa,Остаточная сумма,Remaining Amount,Қолдиқ сумма
intend_page_calculate_cart_data,Intend karta ma'lumotlari hisoblanmoqda..,Расчет данных карты интенд,Intent card data is being calculated...,Интенд карта маълумотлари ҳисобланмоқда..
intend_page_intend_limit,Sizning ajratilgan limitingiz:,Ваш выделенный лимит:,Your allocated limit:,Сизнинг ажратилган лимитингиз:
intend_page_not_intend_cart_center,kartalar bo‘limiga o‘ting,зайдите в раздел карточек,go to cards section,карталар бўлимига ўтинг
intend_page_not_intend_cart_end,va Intend kartani rasmiylashtiring!,и оформите Интенд-карту!,and register Intent card!,ва Интенд картани расмийлаштиринг!
intend_page_not_intend_cart_start,Buyurtmani rasmiylashtirish uchun,Чтобы завершить заказ,To complete the order,Буюртмани расмийлаштириш учун
language_rus,Русский,Русский,Russian,Русский
language_set_title,Ilova tilini tanlang,Выберите язык приложения,Select App Language,Илова тилини танланг
language_uz_cyr,Ўзбекча,Ўзбекча,Uzbek (Cyrillic),Ўзбекча
language_uz_lat,O’zbekcha,O’zbekcha,Uzbek (Latin),Ўзбекча
language_welcome,Xush kelibsiz,Добро пожаловать,Welcome,Хуш келибсиз
link_title,link,связь,link,линк
login_with_family_credit_date,Sana,Дата,Date,Сана
login_with_phone_number_error,Raqam yoki parol noto‘g‘ri,Номер или пароль неверен,Incorrect number or password,Рақам ёки парол нотўғри
message_bad_request_error,So‘rovni bajarishda xatolik yuz berdi,Произошла ошибка при обработке запроса,Error executing request,Сўровни бажаришда хатолик юз берди
message_changes_saving_failed,O‘zgarishlarni saqlashda xatolik yuz berdi,Произошла ошибка при сохранении изменений,Error saving changes,Ўзгаришларни сақлашда хатолик юз берди
message_changes_saving_success,O‘zgarishlar muvaffaqiyatli saqlandi,Изменения успешно сохранены,Changes successfully saved,Ўзгаришлар муваффақиятли сақланди
message_connection_error,"Iltimos, internetingizni tekshiring, serverga ulanib bo‘lmadi","Пожалуйста, проверьте свой Интернет, не удалось подключиться к серверу","Please check your internet connection, couldn't connect to server","Илтимос, интернетингизни текширинг, серверга уланиб бўлмади"
message_forbidden_error,So‘rovni bajarib bo‘lmadi. Iltimos keyinroq qayta urinib ko‘ring,"Не удалось выполнить запрос. Пожалуйста, повторите попытку позже",Request could not be completed. Please try again later,Сўровни бажариб бўлмади. Илтимос кейинроқ қайта уриниб кўринг
message_internal_server_error,So‘rovni ko‘rib chiqishda serverda xatolikka yuz berdi. Server qayta ishga tushirilayotgan bo‘lishi mumkin. Iltimos birozdan keyin qayta urinib ko‘ring,"На сервере произошла ошибка при обработке запроса. Возможно, сервер перезагружается. Пожалуйста, повторите попытку позже",Server error occurred while processing request. Server may be restarting. Please try again shortly,Сўровни кўриб чиқишда серверда хатоликка юз берди. Сервер қайта ишга туширилаётган бўлиши мумкин. Илтимос бироздан кейин қайта уриниб кўринг
message_not_found_error,So‘rovni ko‘rib chiqish uchun serverda kerakli resurs topilmadi. Server qayta ishga tushirilayotgan bo‘lishi mumkin. Iltimos birozdan keyin qayta urinib ko‘ring,"Серверу не удалось найти необходимый ресурс для обработки запроса. Возможно, сервер перезагружается. Пожалуйста, повторите попытку позже",Required resource not found on server to process request. Server may be restarting. Please try again shortly,Сўровни кўриб чиқиш учун серверда керакли ресурс топилмади. Сервер қайта ишга туширилаётган бўлиши мумкин. Илтимос бироздан кейин қайта уриниб кўринг
message_response_error,"Ma’lumotlarni qabul qilish xatolik yuz berdi. Iltimos, yana bir bor urinib ko‘ring","Произошла ошибка при получении данных. Пожалуйста, попробуйте еще раз",Error receiving data. Please try again,"Маълумотларни қабул қилиш хатолик юз берди. Илтимос, яна бир бор уриниб кўринг"
message_response_parse_error,Serverdan kutilgan strukturadagi ma’lumotlar kelmadi,Данные в ожидаемой структуре не поступили с сервера,Data from server did not come in expected structure,Сервердан кутилган структурадаги маълумотлар келмади
message_title_error,Xato,Ошибка,Error,Хато
message_title_info,Ma’lumot,Информация,Information,Маълумот
message_title_success,Muvaffaqiyatli,Успешно,Successful,Муваффақиятли
message_title_warning,Ogohlantirish,Предупреждение,Warning,Огоҳлантириш
message_unknown_error,"Xatolik ro‘y berdi. Iltimos, yana bir bor urinib ko‘ring","Произошла ошибка. Пожалуйста, попробуйте еще раз",An error occurred. Please try again,"Хатолик рўй берди. Илтимос, яна бир бор уриниб кўринг"
message_user_identity_not_verified,Shaxsingiz tasdiqlanmagan. Davom etish uchun shaxsingizni tasdiqlang.,"Ваша личность не подтверждена. Подтвердите свою личность, чтобы продолжить.",Your identity is not verified. Verify your identity to continue.,Шахсингиз тасдиқланмаган. Давом этиш учун шахсингизни тасдиқланг.
message_user_not_authorized,Siz hali tizimga kirmagansiz. Davom etish uchun tizimga kiring,"Вы еще не авторизовались. Войдите, чтобы продолжить",You are not logged in yet. Log in to continue,Сиз ҳали тизимга кирмагансиз. Давом этиш учун тизимга киринг
my_card_title,Mening kartalarim,Мои карты,My Cards,Менинг карталарим
my_requests_title,Mening so‘rovlarim,Мои Запросы,My Requests,Менинг сўровларим
no_have_notification,Sizda hech qanday bildirishnoma yoʻq,У вас нет уведомлений,You have no notifications,Сизда ҳеч қандай билдиришнома йўқ
no_you_have_card_description,Ushbu kartalar bilan siz mahsulot yoki xizmat uchun to‘lashingiz mumkin,С помощью этих карт вы можете оплатит за товар или услугу,With these cards you can pay for products or services,Ушбу карталар билан сиз маҳсулот ёки хизмат учун тўлашингиз мумкин
no_you_have_card_title,Siz hali toʻlov kartasini qoʻshmagansiz,Вы еще не добавили карту для оплаты,You haven't added a payment card yet,Сиз ҳали тўлов картасини қўшмагансиз
notification_list_total_count,Barcha xabarlar soni: ,Общее количество уведомлений: ,Total messages:,Барча хабарлар сони:
notification_list_unread_count,O‘qilmagan xabarlar soni: ,Количество непрочитанных уведомлений: ,Unread messages:,Ўқилмаган хабарлар сони:
notification_receive_email,Elektron pochta orqali,Через Эл. почту,Via Email,Электрон почта орқали
notification_receive_sms,SMS xabar,СМС собщение,SMS Message,СМС хабар
notification_receive_telegram,Telegram boti,Телеграм бот,Telegram Bot,Телеграм боти
notification_title,Bildirishnoma,Уведомление,Notification,Билдиришнома
order_cancellation_changed_idea,Fikrim o‘zgarib qoldi,Я передумал,I Changed My Mind,Фикрим ўзгариб қолди
order_cancellation_other_reason,Boshqa,Другой,Other,Бошқа
order_cancellation_selected_infcorrected_ad,Adashib buyurtma beribman,Я заказал по ошибке,I Made a Mistake with the Order,Адашиб буюртма берибман
order_cancellation_seller_not_answered,Ta’minotchi javob bermadi,Поставщик не ответил,Supplier Did Not Respond,Таъминотчи жавоб бермади
order_cancellation_title,Buyurtmani bekor qilish,Отменить заказ,Cancel Order,Буюртмани бекор қилиш
order_creation_address,Manzil,Адрес,Address,Манзил
order_creation_category,Kategoriya,Категория,Category,Категория
order_creation_deposit_refill,Depozitni to‘ldirish,Пополнение депозита,Top Up Deposit,Депозитни тўлдириш
order_creation_error_not_enough_funds_on_deposit,Depozitda mablag‘ yetarli emas,На депозите недостаточно средств,Insufficient funds in deposit,Депозитда маблағ етарли эмас
order_creation_online_description,RealPay orqali onlayn to‘lov,Онлайн оплата через RealPay,Online payment via RealPay,РеалПай орқали онлайн тўлов
order_creation_payment_method,To‘lov usuli,Способ оплаты,Payment Method,Тўлов усули
order_creation_payment_with_cash,Naqd pul,Наличними,Cash,Нақд пул
order_creation_payment_with_deposit,Depozit karta,Депозитная карта,Deposit Card,Депозит карта
order_creation_price,Narxi,Цена,Price,Нархи
order_creation_register,Rasmiylashtirish,оформление,Checkout,Расмийлаштириш
order_creation_title,Rasmiylashtirish,Оформить,Checkout,Расмийлаштириш
order_creation_total_price,Jami,Итого,Total,Жами
order_empty_message_accepted,Sizda hozircha qabul qilingan buyurtma yo‘q!,У вас пока нет принятых заказов!,You don't have any accepted orders yet!,Сизда ҳозирча қабул қилинган буюртма йўқ!
order_empty_message_all,Siz hali birorta ham buyurtma bermadingiz!,Вы ещё не сделали заказов!,You haven't placed any orders yet!,Сиз ҳали бирорта ҳам буюртма бермадингиз!
order_empty_message_cancelled,Sizda hozircha bekor qilingan buyurtma yo‘q!,У вас пока нет отмененных заказов!,You don't have any canceled orders yet!,Сизда ҳозирча бекор қилинган буюртма йўқ!
order_empty_message_in_progress,Sizda hozircha ko‘rib chiqilayotgan buyurtma yo‘q!,У вас нет ожидающих объявлений!,You don't have any orders under review yet!,Сизда ҳозирча кўриб чиқилаётган буюртма йўқ!
order_empty_message_rejected,Sizda hozircha rad etilgan buyurtma yo‘q!,У вас еще нет отклоненных объявлений!,You don't have any rejected orders yet!,Сизда ҳозирча рад этилган буюртма йўқ!
order_empty_message_wait,Sizda hozircha ko‘rib chiqilayotgan buyurtma yo‘q!,У вас пока нет объявлений на рассмотрении!,You don't have any orders under review yet!,Сизда ҳозирча кўриб чиқилаётган буюртма йўқ!
order_list_title,Buyurtmalarim,Мои заказы,My Orders,Буюртмаларим
order_list_type_buy,Sotib olaman,Куплю,I Buy,Сотиб оламан
order_list_type_sell,Sotaman,Продаю,I Sell,Сотаман
order_need_product,Mahsulot kerak,Нужен товар,Product Needed,Маҳсулот керак
order_need_service,Xizmat kerak,Нужна услуга,Service Needed,Хизмат керак
payment_filter_all,Hammasi,Все,All,Ҳаммаси
payment_filter_from_date,Dan:,От:,From:,Дан:
payment_filter_payment_method,To‘lov usuli,Способ оплаты,Payment Method,Тўлов усули
payment_filter_payment_type,To‘lov turi,Тип оплаты,Payment Type,Тўлов тури
payment_filter_status,Holat,Статус,Status,Ҳолат
payment_filter_to_date,Gacha:,До:,To:,Гача:
payment_filter_type,Turi,Тип,Type,Тури
payment_title,To‘lovlar,Платежи,Payments,Тўловлар
plan_installments_empty_price,Boshlang‘ich to‘lov majburiy emas,Первоначальный взнос не обязателен,Initial payment is not required,Бошланғич тўлов мажбурий эмас
plan_installments_minimum_price,{price}dan va yuqori,От {price} и выше,from {price} and above,{приcе}дан ва юқори
plan_installments_monthly_price,Oylik to‘lov,Ежемесячная плата,Monthly Payment,Ойлик тўлов
plan_installments_start_date,Birinchi to‘lov sanasi,Дата первого платежа,First Payment Date,Биринчи тўлов санаси
plan_installments_start_price,Boshlang‘ich to‘lov,Первый платеж,Initial Payment,Бошланғич тўлов
plan_installments_table_title,To‘lov jadvali,График оплаты,Payment Schedule,Тўлов жадвали
popular_categories_title,Ommabop kategoriyalar,Популярные категории,Popular Categories,Оммабоп категориялар
popular_products,Ommabop mahsulotlar,Популярные продукты,Popular Products,Оммабоп маҳсулотлар
popular_services,Ommabop xizmatlar,Популярные услуги,Popular Services,Оммабоп хизматлар
products_title,Mahsulotlar,Продукты,Products,Маҳсулотлар
profile_change_language,Tilni o‘zgartirish,Изменить язык,Change Language,Тилни ўзгартириш
profile_change_to_business,Biznesga o‘tish,Поменять на бизнес,Switch to Business,Бизнесга ўтиш
profile_comparison,Taqqoslash ro‘yxati,Список сравнения,Comparison List,Таққослаш рўйхати
profile_dark_mode,Tungi rejim,Ночной режим,Night Mode,Тунги режим
profile_edit_apartment,Kvartira,Квартира,Apartment,Квартира
profile_edit_brith_date,Tug‘ilgan sana,Дата рождения,Date of Birth,Туғилган сана
profile_edit_change_personal_data,Shaxsiy ma‘lumotlarni o‘zgartiring,Изменить личные данные,Change your personal data,Шахсий маълумотларни ўзгартиринг
profile_edit_full_biometric,"Pasport raqami va seriyasini, tug‘ilgan sanasini ko‘rsating","Укажите номер и серия паспорта, дата рождения","Provide passport number and series, date of birth","Паспорт рақами ва сериясини, туғилган санасини кўрсатинг"
profile_edit_title,Tahrirlash,Изменить,Edit,Таҳрирлаш
profile_edit_unfull_information,Ma‘lumotlarni to‘liq kiriting,Введите данные полностью,Enter complete information,Маълумотларни тўлиқ киритинг
profile_edit_user_name,Ism,Имя,First Name,Исм
profile_edit_user_username,Foydalanuvchi nomi,Имя пользователя,Username,Фойдаланувчи номи
profile_fill_wallet,Hamyonni to‘ldiring,Наполните кошелек,Top Up Wallet,Ҳамённи тўлдиринг
profile_identified,Shaxsingiz tasdiqlangan,Идентифицирован,Your identity is verified,Шахсингиз тасдиқланган
profile_identify,Shaxsni tasdiqlash,Идентифицировать,Identity Verification,Шахсни тасдиқлаш
profile_logout,Chiqish,Выйти,Exit,Чиқиш
profile_logout_description,Tizimdan chiqishni hohlaysizmi?,Вы хотите выйти из системы?,Do you want to log out?,Тизимдан чиқишни ҳоҳлайсизми?
profile_logout_title,Tizimdan chiqish,Выйти,Logout,Тизимдан чиқиш
profile_message,Xabar,Сообщение,Message,Хабар
profile_my_address,Mening manzillarim,Мои адреса,My Addresses,Менинг манзилларим
profile_my_ads,Mening e‘lonlarim,Мои объявления,My Ads,Менинг эълонларим
profile_my_balans,Mening balansim:,Мой баланс:,My Balance:,Менинг балансим:
profile_my_card,Mening kartalarim,Мои карты,My Cards,Менинг карталарим
profile_not_identified,Shaxsingiz tasdiqlanmagan,Не идентифицирован,Your identity is not verified,Шахсингиз тасдиқланмаган
profile_notification,Bildirishnoma,Уведомление,Notification,Билдиришнома
profile_orders,Buyurtmalar,Заказы,Orders,Буюртмалар
profile_payment,To‘lovlar,Платежи,Payments,Тўловлар
profile_personal_data,Shaxsiy ma‘lumotlar,Личные данные,Personal Data,Шахсий маълумотлар
profile_private_person,Jismoniy shaxs,Частное лицо,Individual,Жисмоний шахс
profile_promotions,Aktsiyalar,Продвижения,Promotions,Акциялар
profile_settings,Sozlamalar,Настройки,Settings,Созламалар
profile_social_facebook_link_title,Facebook profili havolasi,Ссылка на профиль Facebook,Facebook Profile Link,Facebook профили ҳаволаси
profile_social_facebook_open_app,Facebookni ochish,Открыть Facebook,Open Facebook,Facebookни очиш
profile_social_facebook_step_first,Facebookni sozlamalar bo‘limiga o‘ting,Зайдите в настройки Facebook,Go to Facebook settings,Facebookни созламалар бўлимига ўтинг
profile_social_facebook_step_second,O‘ng yuqori burchagida joylashgan profil rasmingizga yoki ismingizga bosing. Paydo bo‘lgan menyudan Profilni ko‘rishni tanlang.,Нажмите на изображение своего профиля или имя в правом верхнем углу. В появившемся меню выберите «Просмотреть профиль».,"Click on your profile picture or name in the upper right corner. From the menu that appears, select View Profile.",Ўнг юқори бурчагида жойлашган профил расмингизга ёки исмингизга босинг. Пайдо бўлган менюдан Профилни кўришни танланг.
profile_social_facebook_step_third,Manzil panelida profil havolani ko‘rasiz. Masalan: 'https://www.facebook.com/FOYDALANUVCHINOMI' ko‘rinishida bo‘ladi.,"В адресной строке вы увидите ссылку на профиль. Например, это будет выглядеть так: «https://www.facebook.com/USERNAME».",You will see the profile link in the address bar. For example: it will be in the form 'https://www.facebook.com/USERNAME'.,Манзил панелида профил ҳаволани кўрасиз. Масалан: 'https://www.facebook.com/FOYDALANUVCHINOMI' кўринишида бўлади.
profile_social_instagram_link_title,Instagram profili havolasi,Ссылка на профиль Instagram,Instagram Profile Link,Instagram профили ҳаволаси
profile_social_instagram_open_app,Instagramni ochish,Открыть Instagram,Open Instagram,Instagramни очиш
profile_social_instagram_step_first,Instagramni profil bo‘limiga o‘ting,Зайдите в свой профиль в Instagram,Go to Instagram profile section,Instagramни профил бўлимига ўтинг
profile_social_instagram_step_secoond,Profilingizni ochish uchun o‘ng pastdagi profil belgisiga bosing yoki profil nomingizga bosing.,"Чтобы открыть свой профиль, щелкните значок профиля в правом нижнем углу или щелкните имя своего профиля.",Click on the profile icon in the lower right to open your profile or click on your profile name.,Профилингизни очиш учун ўнг пастдаги профил белгисига босинг ёки профил номингизга босинг.
profile_social_instagram_step_third,"Profil sahifangizga yo‘naltirilganingizdan so‘ng, brauzerning manzil panelida profil havolasini ko‘rasiz. Umumiy ravishda, 'https://www.instagram.com/FOYDALANUVCHINOMI' ko‘rinishida bo‘ladi.","Как только вы будете перенаправлены на страницу своего профиля, вы увидите ссылку на профиль в адресной строке браузера. Обычно это выглядит так: https://www.instagram.com/USERNAME.","After you are redirected to your profile page, you will see the profile link in the browser's address bar. Generally, it will be in the form 'https://www.instagram.com/USERNAME'.","Профил саҳифангизга йўналтирилганингиздан сўнг, браузернинг манзил панелида профил ҳаволасини кўрасиз. Умумий равишда, 'https://www.instagram.com/FOYDALANUVCHINOMI' кўринишида бўлади."
profile_social_step_first,Birinchi qadam:,Первый шаг:,First Step:,Биринчи қадам:
profile_social_step_second,Ikkinchi qadam:,Второй шаг:,Second Step:,Иккинчи қадам:
profile_social_step_third,Uchinchi qadam:,Третий шаг:,Third Step:,Учинчи қадам:
profile_social_telegram_link_title,Telegram profil havolasi,Ссылка на профиль Telegram,Telegram Profile Link,Телеграм профил ҳаволаси
profile_social_telegram_open_app,Telegramni ochish,Открыть Telegram,Open Telegram,Телеграмни очиш
profile_social_telegram_step_first,Telegramni sozlamalar bo‘limiga o‘ting,Зайдите в настройки Telegram,Go to Telegram settings,Телеграмни созламалар бўлимига ўтинг
profile_social_telegram_step_second,Telegram profilining foydalanuvchi nomini olishingiz kerak. Bu nom foydalanuvchining profilida @ belgisi bilan boshlanadigan nomdir. Masalan: @username.,"Вам необходимо получить имя пользователя профиля Telegram. Это имя — это имя, которое начинается с символа @ в профиле пользователя. Например: @имя_пользователя.",You need to get your Telegram profile username. This name is the name that starts with @ symbol in the user's profile. For example: @username.,Телеграм профилининг фойдаланувчи номини олишингиз керак. Бу ном фойдаланувчининг профилида @ белгиси билан бошланадиган номдир. Масалан: @усернаме.
profile_social_telegram_step_third,Havolasini yaratishda https://t.me/ so‘zidan keyin foydalanuvchining username’ini qo‘shish kerak. Masalan: https://t.me/username.,При создании ссылки необходимо после слова https://t.me/ добавить логин пользователя. Например: https://t.me/имя_пользователя.,"When creating a link, you need to add the username after https://t.me/. For example: https://t.me/username.",Ҳаволасини яратишда https://t.me/ сўзидан кейин фойдаланувчининг усернамеъини қўшиш керак. Масалан: https://t.me/username.
profile_social_youtube_link_title,YouTube profili havolasi,Ссылка на профиль YouTube,YouTube Profile Link,YouTube профили ҳаволаси
profile_social_youtube_open_app,YouTubeni ochish,Открыть YouTube,Open YouTube,YouTubeни очиш
profile_social_youtube_step_first,Youtubeni sozlamalar bo‘limiga o‘ting,Зайдите в настройки YouTube,Go to YouTube settings,Youtubeни созламалар бўлимига ўтинг
profile_social_youtube_step_second,Profil rasmingizni bosing va paydo bo‘lgan menyudan Mening kanalimni tanlang.,Нажмите на изображение своего профиля и в появившемся меню выберите «Мой канал».,Click your profile picture and select My Channel from the menu that appears.,Профил расмингизни босинг ва пайдо бўлган менюдан Менинг каналимни танланг.
profile_social_youtube_step_third,Manzil panelida profil havolani ko‘rasiz. Masalan: 'https://www.youtube.com/c/FOYDALANUVCHINOMI' ko‘rinishida bo‘ladi.,"В адресной строке вы увидите ссылку на профиль. Например, это будет выглядеть так: «https://www.youtube.com/c/USERNAME».",You will see the profile link in the address bar. For example: it will be in the form 'https://www.youtube.com/c/USERNAME'.,Манзил панелида профил ҳаволани кўрасиз. Масалан: 'https://www.youtube.com/c/FOYDALANUVCHINOMI' кўринишида бўлади.
profile_title,Profil,Профиль,Profile,Профил
profile_user_date_of_birth,Tug‘ilgan kuni,Дата рождения,Date of Birth,Туғилган куни
profile_user_date_of_doc_validity,Pasport ma‘lumoti,Паспортные данные,Passport Information,Паспорт маълумоти
profile_user_name,Foydalanuvchi nomi,Имя пользователя,Username,Фойдаланувчи номи
profile_user_neighborhood,Turar joy,Махалля,Residence,Турар жой
profile_view_titlle,Profil,Профиль,Profile,Профил
recently_viewed_title,Yaqinda ko‘rilgan,Недавно посмотренные,Recently Viewed,Яқинда кўрилган
report_action_block_ad,E’lonni bloklash,Блокировать объявление,Block Ad,Эълонни блоклаш
report_action_block_user,Foydalanuvchini bloklash,Заблокировать пользователя,Block User,Фойдаланувчини блоклаш
report_action_send_report,Shikoyat yuborish,Отправить жалобу,Send Report,Шикоят юбориш
report_ads_block_desc,Haqiqatan ham ushbu e’lonni bloklashni xohlaysizmi? Bloklash sababini tanlang:,Вы действительно хотите заблокировать это объявление? Выберите причину блокировки:,Do you really want to block this ad? Select the reason for blocking:,Ҳақиқатан ҳам ушбу эълонни блоклашни хоҳлайсизми? Блоклаш сабабини танланг:
report_ads_block_title,E’lonni bloklash,Блокировка объявления,Block Ad,Эълонни блоклаш
report_ads_report_desc,Ushbu e’lon qoidalarni buzadi deb o‘ylaysizmi? Shikoyat sababini tanlang:,"Считаете, что данное объявление нарушает правила? Выберите причину жалобы:",Do you think this ad violates the rules? Select the reason for complaint:,Ушбу эълон қоидаларни бузади деб ўйлайсизми? Шикоят сабабини танланг:
report_ads_report_title,E’londan shikoyat qilish,Жалоба на объявление,Report Ad,Эълондан шикоят қилиш
report_reason_fraud,Firibgarlik,Мошенничество,Fraud,Фирибгарлик
report_reason_inappropriate_content,Nomaqbul kontent,Нежелательный контент,Inappropriate Content,Номақбул контент
report_reason_insult_or_threats,Haqorat yoki tahdidlar,Оскорбление или угрозы,Insults or Threats,Ҳақорат ёки таҳдидлар
report_reason_irrelevant_ads,Aktual bo‘lmagan e’lonlar,Неактуальные объявления,Irrelevant Ads,Актуал бўлмаган эълонлар
report_reason_other,Boshqa,Другое,Other,Бошқа
report_reason_prohibited_goods_services,Taqiqlangan mahsulotlar / xizmatlar,Запрещенные товары / услуги,Prohibited Products / Services,Тақиқланган маҳсулотлар / хизматлар
report_reason_prohibited_service,Taqiqlangan xizmat,Запрещенная услуга,Prohibited Service,Тақиқланган хизмат
report_reason_spam,Spam,Спам,Spam,Спам
report_success_message,Sizning so‘rovingiz ko‘rib chiqish uchun yuborildi.,Ваш запрос отправлен на рассмотрение.,Your request has been sent for review.,Сизнинг сўровингиз кўриб чиқиш учун юборилди.
report_user_block_desc,Ushbu foydalanuvchini bloklashni xohlaysizmi? Bloklash sababini tanlang:,Вы хотите заблокировать этого пользователя? Выберите причину блокировки:,Do you want to block this user? Select the reason for blocking:,Ушбу фойдаланувчини блоклашни хоҳлайсизми? Блоклаш сабабини танланг:
report_user_block_title,Foydalanuvchini bloklash,Блокировка пользователя,Block User,Фойдаланувчини блоклаш
report_user_report_desc,"Sizningcha, ushbu foydalanuvchi qoidalarni buzadimi? Shikoyat sababini tanlang:","Считаете, что данный пользователь нарушает правила? Выберите причину жалобы:",Do you think this user violates the rules? Select the reason for complaint:,"Сизнингча, ушбу фойдаланувчи қоидаларни бузадими? Шикоят сабабини танланг:"
report_user_report_title,Foydalanuvchidan shikoyat qilish,Жалоба на пользователя,Report User,Фойдаланувчидан шикоят қилиш
request_title,So‘rovlar,Запросы,Requests,Сўровлар
search_hint_category,Kategoriya bo‘yicha izlash,Поиск по категории,Search by Category,Категория бўйича излаш
search_hint_category_and_products,Mahsulotlar va kategoriyalar qidiring,Искать товары и категории,Search for products and categories,Маҳсулотлар ва категориялар қидиринг
search_initial_message,Qidiruvni boshlash uchun so‘rovni kiriting,"Введите запрос, чтобы начать поиск",Enter a query to start searching,Қидирувни бошлаш учун сўровни киритинг
selection_ad_transaction_type_title,E’lon turini tanlang,Выберите тип объявления,Select Ad Type,Эълон турини танланг
selection_currency_title,Pul birligini tanlang,Выберите валюту,Select Currency,Пул бирлигини танланг
selection_delivery_districts_title,Yetkazib berish hududlarini tanlang,Выберите регионы доставки,Select Delivery Areas,Етказиб бериш ҳудудларини танланг
selection_payment_type_title,To‘lov turlarini tanlang,Выберите типы оплаты,Select Payment Types,Тўлов турларини танланг
selection_pickup_addresses_title,Olib ketish manzillarini tanlang,Выберите адреса самовывоза,Select Pickup Addresses,Олиб кетиш манзилларини танланг
